Timestamp,Time [s],Voltage [V],Current [A],Temperature [degC],Capacity [Ah]
2017-06-25 15:18:42,60.00199802219868,4.18077,0.0,13.095626000000001,0.0
2017-06-25 15:19:42,119.99500393867493,4.17948,0.0,10.501298,0.0
2017-06-25 15:20:42,179.99900355935097,4.17884,0.0,7.2864244,0.0
2017-06-25 15:21:42,239.99600261449814,4.17819,0.0,4.105429399999999,0.0
2017-06-25 15:22:42,299.99700486660004,4.17755,0.0,0.7319788999999997,0.0
2017-06-25 15:23:42,359.99700129032135,4.17691,0.0,-2.4836560000000003,0.0
2017-06-25 15:24:42,419.99800354242325,4.17626,0.0,-5.65513,0.0
2017-06-25 15:25:42,479.9959983676672,4.17562,0.0,-7.9308412,0.0
2017-06-25 15:26:42,539.9980064481497,4.17562,0.0,-9.7344628,0.0
2017-06-25 15:27:42,599.9960012733936,4.17497,0.0,-11.3202052,0.0
2017-06-25 15:28:42,659.9950019270182,4.17433,0.0,-12.660620199999999,0.0
2017-06-25 15:29:42,719.9980057775974,4.17433,0.0,-13.7123932,0.0
2017-06-25 15:30:42,780.0009995698929,4.17433,0.0,-14.809903,0.0
2017-06-25 15:31:42,840.0000002235174,4.17369,0.0,-15.438682,0.0
2017-06-25 15:32:42,900.0019982457161,4.17369,0.0,-16.078895199999998,0.0
2017-06-25 15:33:42,960.0009988993406,4.17304,0.0,-16.696250199999998,0.0
2017-06-25 15:34:42,1019.9999995529652,4.17304,0.0,-17.1421126,0.0
2017-06-25 15:35:42,1079.998004436493,4.17304,0.0,-17.5651066,0.0
2017-06-25 15:36:42,1139.9970050901175,4.17304,0.0,-17.7823258,0.0
2017-06-25 15:37:42,1199.9970015138388,4.17304,0.0,-18.1938856,0.0
2017-06-25 15:38:42,1259.9989995360374,4.17304,0.0,-18.422539,0.0
2017-06-25 15:39:42,1320.0000017881393,4.1724,0.0,-18.639748,0.0
2017-06-25 15:40:42,1379.9970008432865,4.1724,0.0,-18.8569672,0.0
2017-06-25 15:41:42,1440.0000046938658,4.1724,0.0,-19.062742,0.0
2017-06-25 15:42:42,1499.997003749013,4.1724,0.0,-19.051318000000002,0.0
2017-06-25 15:43:42,1559.9999975413084,4.1724,0.0,-19.2570928,0.0
2017-06-25 15:44:42,1619.9980024248362,4.1724,0.0,-19.268527,0.0
2017-06-25 15:45:42,1679.9950014799833,4.1724,0.0,-19.485746199999998,0.0
2017-06-25 15:46:42,1739.996999502182,4.1724,0.0,-19.474312,0.0
2017-06-25 15:47:42,1799.9989975243807,4.1724,0.0,-19.485746199999998,0.0
2017-06-25 15:48:42,1859.9960066378117,4.1724,0.0,-19.485746199999998,0.0
2017-06-25 15:49:42,1919.996003061533,4.1724,0.0,-19.6915312,0.0
2017-06-25 15:50:42,1979.9970053136349,4.1724,0.0,-19.680097,0.0
2017-06-25 15:51:42,2039.9970017373562,4.1724,0.0,-19.7143894,0.0
2017-06-25 15:52:42,2100.001001358032,4.1724,0.0,-19.702955199999998,0.0
2017-06-25 15:53:42,2159.9980004131794,4.1724,0.0,-19.702955199999998,0.0
2017-06-25 15:54:42,2219.996005296707,4.1724,0.0,-19.7143894,0.0
2017-06-25 15:55:42,2279.9969974905252,4.1724,0.0,-19.6915312,0.0
2017-06-25 15:56:42,2339.9990055710077,4.1724,0.0,-19.702955199999998,0.0
2017-06-25 15:57:42,2400.0010035932064,4.1724,0.0,-19.6915312,0.0
2017-06-25 15:58:42,2459.9989984184504,4.17176,0.0,-19.897306,0.0
2017-06-25 15:59:42,2519.997003301978,4.1724,0.0,-19.897306,0.0
2017-06-25 16:00:42,2579.9969997256994,4.17176,0.0,-19.9087402,0.0
2017-06-25 16:01:42,2639.9980019778013,4.1724,0.0,-19.897306,0.0
2017-06-25 16:02:42,2700.0,4.1724,0.0,-19.897306,0.0
2017-06-25 16:03:42,2759.9980048835278,4.17176,0.0,-19.897306,0.0
2017-06-25 16:04:42,2819.9990071356297,4.17176,0.0,-19.9087402,0.0
2017-06-25 16:05:42,2879.996006190777,4.17176,0.0,-19.9087402,0.0
2017-06-25 16:06:42,2939.996998384595,4.17176,0.0,-19.897306,0.0
2017-06-25 16:07:42,2999.993997439742,4.17176,0.0,-19.897306,0.0
2017-06-25 16:08:42,3060.002000257373,4.17176,0.0,-19.885882,0.0
2017-06-25 16:09:42,3119.9969977140427,4.17176,0.0,-19.897306,0.0
2017-06-25 16:10:42,3179.9979999661446,4.17176,0.0,-19.897306,0.0
2017-06-25 16:11:42,3239.9980064481497,4.17176,0.0,-19.897306,0.0
2017-06-25 16:12:42,3299.9939996749163,4.17176,0.0,-19.9087402,0.0
2017-06-25 16:13:42,3360.0010067224503,4.17176,0.0,-19.9087402,0.0
2017-06-25 16:14:42,3419.9980057775974,4.17176,0.0,-19.9087402,0.0
2017-06-25 16:15:42,3479.9960006028414,4.17176,0.0,-19.897306,0.0
2017-06-25 16:16:42,3540.0000002235174,4.17176,0.0,-19.897306,0.0
2017-06-25 16:17:42,3599.999000877142,4.17176,0.0,-19.897306,0.0
2017-06-25 16:18:42,3659.9950041621923,4.17176,0.0,-20.103091000000003,0.0
2017-06-25 16:19:42,3719.997997954488,4.17176,0.0,-19.9087402,0.0
2017-06-25 16:20:42,3779.9969986081123,4.17176,0.0,-20.1145252,0.0
2017-06-25 16:21:42,3840.0009982287884,4.17176,0.0,-19.9087402,0.0
2017-06-25 16:22:42,3899.999998882413,4.17176,0.0,-20.103091000000003,0.0
2017-06-25 16:23:42,3960.0050043314695,4.17176,0.0,-20.103091000000003,0.0
2017-06-25 16:24:42,4019.9990060180426,4.17176,0.0,-20.1145252,0.0
2017-06-25 16:25:42,4079.9960050731897,4.17176,0.0,-20.1145252,0.0
2017-06-25 16:26:42,4139.998003095388,4.17176,0.0,-20.1145252,0.0
2017-06-25 16:27:42,4199.99900534749,4.17176,0.0,-20.103091000000003,0.0
2017-06-25 16:28:42,4259.998006001115,4.17176,0.0,-20.125959400000003,0.0
2017-06-25 16:29:42,4319.996000826359,4.17176,0.0,-20.103091000000003,0.0
2017-06-25 16:30:42,4380.001006275415,4.17176,0.0,-20.1145252,0.0
2017-06-25 16:31:42,4439.994997903705,4.17176,0.0,-20.103091000000003,0.0
2017-06-25 16:32:42,4499.998001754284,4.17176,0.0,-20.103091000000003,0.0
2017-06-25 16:33:42,4559.996006637812,4.17176,0.0,-20.103091000000003,0.0
2017-06-25 16:34:42,4619.995007291436,4.17176,0.0,-20.1145252,0.0
2017-06-25 16:35:42,4679.999006912112,4.17176,0.0,-20.103091000000003,0.0
2017-06-25 16:36:42,4739.996005967259,4.17176,0.0,-20.103091000000003,0.0
2017-06-25 16:37:42,4800.000005587935,4.17176,0.0,-20.1145252,0.0
2017-06-25 16:38:42,4859.997004643083,4.17111,0.0,-20.103091000000003,0.0
2017-06-25 16:39:42,4919.996005296707,4.17111,0.0,-20.103091000000003,0.0
2017-06-25 16:40:42,4979.995005950332,4.17176,0.0,-20.1145252,0.0
2017-06-25 16:41:42,5039.995002374053,4.17176,0.0,-20.103091000000003,0.0
2017-06-25 16:42:42,5100.001999363303,4.17176,0.0,-20.1145252,0.0
2017-06-25 16:43:42,5159.995005279779,4.17176,0.0,-20.1145252,0.0
2017-06-25 16:44:42,5219.997999072075,4.17111,0.0,-20.103091000000003,0.0
2017-06-25 16:45:42,5279.996003955603,4.17176,0.0,-20.103091000000003,0.0
2017-06-25 16:46:42,5339.998997747898,4.17176,0.0,-20.103091000000003,0.0
2017-06-25 16:47:42,5399.9950010329485,4.17111,0.0,-20.1145252,0.0
2017-06-25 16:48:42,5459.996999055147,4.17111,0.0,-20.1602518,0.0
2017-06-25 16:49:42,5519.99900713563,4.17111,0.0,-20.103091000000003,0.0
2017-06-25 16:50:42,5579.99799773097,4.17176,0.0,-20.103091000000003,0.0
2017-06-25 16:51:42,5639.995006844401,4.17111,0.0,-20.331744399999998,0.0
