TimeStamp,Voltage,Current,Ah,Wh,Power,Battery_Temp_degC,Time,Chamber_Temp_degC
6/25/2017 10:31:03 AM,4.17223,-0.01143,-0.0,-0.0,-0.047688588899999995,-20.103091000000003,0.0,
6/25/2017 10:31:03 AM,4.16772,-0.049,-0.0,-1e-05,-0.20421828,-20.103091000000003,0.09900368750095367,
6/25/2017 10:31:03 AM,4.16386,-0.06206,-0.0,-1e-05,-0.25840915159999994,-20.103091000000003,0.20600371062755585,
6/25/2017 10:31:03 AM,4.16193,-0.06533,-1e-05,-2e-05,-0.27189888689999997,-20.103091000000003,0.3019999712705612,
6/25/2017 10:31:03 AM,4.16,-0.06615,-1e-05,-3e-05,-0.275184,-20.103091000000003,0.40400102734565735,
6/25/2017 10:31:03 AM,4.15807,-0.06615,-1e-05,-4e-05,-0.2750563305,-19.885882,0.5060020834207535,
6/25/2017 10:31:03 AM,4.15679,-0.06615,-1e-05,-4e-05,-0.2749716585,-19.885882,0.6030041724443436,
6/25/2017 10:31:03 AM,4.15486,-0.06696,-1e-05,-5e-05,-0.27820942560000006,-19.897306,0.7010020315647125,
6/25/2017 10:31:03 AM,4.15292,-0.06696,-1e-05,-6e-05,-0.2780795232,-19.897306,0.8030030876398087,
6/25/2017 10:31:04 AM,4.15164,-0.06696,-2e-05,-7e-05,-0.27799381440000004,-19.897306,0.9030025452375412,
6/25/2017 10:31:04 AM,4.15035,-0.06778,-2e-05,-8e-05,-0.28131072300000004,-19.897306,1.0010004043579102,
6/25/2017 10:31:04 AM,4.14906,-0.06778,-2e-05,-8e-05,-0.2812232868000001,-19.897306,1.1059988290071487,
6/25/2017 10:31:04 AM,4.14778,-0.06696,-2e-05,-9e-05,-0.2777353488,-19.897306,1.20200514793396,
6/25/2017 10:31:04 AM,4.14649,-0.06778,-2e-05,-0.0001,-0.2810490922,-19.897306,1.3030003756284714,
6/25/2017 10:31:04 AM,4.1452,-0.06696,-3e-05,-0.00011,-0.277562592,-19.885882,1.4050014317035675,
6/25/2017 10:31:04 AM,4.14392,-0.06778,-3e-05,-0.00011,-0.2808748976,-19.885882,1.5010077506303787,
6/25/2017 10:31:04 AM,4.14263,-0.06778,-3e-05,-0.00012,-0.2807874614,-20.103091000000003,1.6050003468990326,
6/25/2017 10:31:04 AM,4.14134,-0.06778,-3e-05,-0.00013,-0.2807000252,-20.103091000000003,1.7049998044967651,
6/25/2017 10:31:05 AM,4.14006,-0.06778,-3e-05,-0.00014,-0.28061326680000004,-19.897306,1.8040034919977188,
6/25/2017 10:31:05 AM,4.13941,-0.06778,-3e-05,-0.00015,-0.2805692098,-19.897306,1.9049987196922302,
6/25/2017 10:31:05 AM,4.13813,-0.06696,-4e-05,-0.00015,-0.27708918480000005,-20.103091000000003,2.0060040056705475,
6/25/2017 10:31:05 AM,4.13684,-0.06696,-4e-05,-0.00016,-0.2770028064,-20.103091000000003,2.1030060946941376,
6/25/2017 10:31:05 AM,4.13555,-0.06696,-4e-05,-0.00017,-0.27691642800000005,-20.103091000000003,2.2010039538145065,
6/25/2017 10:31:05 AM,4.13491,-0.06696,-4e-05,-0.00018,-0.2768735736,-19.885882,2.3030050098896027,
6/25/2017 10:31:05 AM,4.13362,-0.06696,-4e-05,-0.00018,-0.2767871952,-19.885882,2.399001270532608,
6/25/2017 10:31:05 AM,4.13234,-0.06778,-5e-05,-0.00019,-0.28009000520000005,-20.103091000000003,2.5030039250850677,
6/25/2017 10:31:05 AM,4.13169,-0.06778,-5e-05,-0.0002,-0.2800459482,-20.103091000000003,2.6020076125860214,
6/25/2017 10:31:05 AM,4.13041,-0.06778,-5e-05,-0.00021,-0.27995918980000006,-20.103091000000003,2.702007070183754,
6/25/2017 10:31:05 AM,4.12976,-0.06778,-5e-05,-0.00021,-0.2799151328,-20.103091000000003,2.8030022978782654,
6/25/2017 10:31:06 AM,4.12848,-0.06696,-5e-05,-0.00022,-0.2764430208,-19.897306,2.8989985585212708,
6/25/2017 10:31:06 AM,4.12783,-0.06696,-6e-05,-0.00023,-0.27639949680000003,-19.897306,3.000003844499588,
6/25/2017 10:31:06 AM,4.12655,-0.06778,-6e-05,-0.00024,-0.27969755900000004,-19.897306,3.1009990721940994,
6/25/2017 10:31:06 AM,4.1259,-0.06778,-6e-05,-0.00025,-0.279653502,-20.103091000000003,3.200998529791832,
6/25/2017 10:31:06 AM,4.12526,-0.06696,-6e-05,-0.00025,-0.27622740960000003,-20.103091000000003,3.302999585866928,
6/25/2017 10:31:06 AM,4.12397,-0.06696,-6e-05,-0.00026,-0.2761410312,-19.897306,3.400997444987297,
6/25/2017 10:31:06 AM,4.12333,-0.06696,-6e-05,-0.00027,-0.27609817680000004,-19.897306,3.502998501062393,
6/25/2017 10:31:06 AM,4.12204,-0.06778,-7e-05,-0.00028,-0.27939187120000003,-19.897306,3.6080069839954376,
6/25/2017 10:31:06 AM,4.1214,-0.06696,-7e-05,-0.00028,-0.27596894400000005,-19.897306,3.6979984492063522,
6/25/2017 10:31:06 AM,4.12011,-0.06778,-7e-05,-0.00029,-0.27926105580000005,-20.103091000000003,3.7999995052814484,
6/25/2017 10:31:07 AM,4.11947,-0.06778,-7e-05,-0.0003,-0.2792176766,-20.103091000000003,3.899998962879181,
6/25/2017 10:31:07 AM,4.11883,-0.06778,-7e-05,-0.00031,-0.27917429740000005,-20.103091000000003,4.001004248857498,
6/25/2017 10:31:07 AM,4.11818,-0.06778,-8e-05,-0.00031,-0.2791302404,-20.103091000000003,4.101003706455231,
6/25/2017 10:31:07 AM,4.11754,-0.06778,-8e-05,-0.00032,-0.27908686120000004,-20.103091000000003,4.20500636100769,
6/25/2017 10:31:07 AM,4.11625,-0.06778,-8e-05,-0.00033,-0.278999425,-20.1145252,4.303004220128059,
