Timestamp,Time [min],Time [s],Voltage [V],Current [A],Temperature [degC],Capacity [Ah],Time_diff,Cumulative_Capacity_Ah,SOC [-],Rounded_Time
2018-11-20 10:41:24,0.0,0.0,4.18599,-0.04597,9.04363,-0.0,0.0,0.0,1.0030844935731995,0
2018-11-20 10:41:25,0.0099499999999049,0.5969999999942956,4.18245,-0.0945,9.04363,-2e-05,2.722222222170482e-05,-1.5109424999869994e-05,0.9999951132971326,1
2018-11-20 10:41:26,0.0266333333333022,1.5979999999981374,4.18211,-0.09706,9.04363,-4e-05,2.750000000054974e-05,-4.209749722219579e-05,0.9999849151108609,2
2018-11-20 10:41:27,0.0433166666665783,2.598999999994703,4.18194,-0.09706,9.04363,-7e-05,2.8611111109866117e-05,-6.89461916665451e-05,0.9999747695923203,3
2018-11-20 10:41:28,0.059983333333245,3.598999999994703,4.17503,-0.22731,9.04363,-0.00012,2.8055555554197377e-05,-0.0001183469222219,0.9999561021659102,4
2018-11-20 10:41:29,0.0766333333333022,4.597999999998137,4.14924,-0.72536,9.04363,-0.00027,2.750000000054974e-05,-0.000267771997222,0.9998996377865365,5
2018-11-20 10:41:30,0.0916666666666666,5.5,4.11452,-1.41241,9.04363,-0.00055,2.8611111111887213e-05,-0.000551558380556,0.9997924012868408,6
2018-11-20 10:41:31,0.1099999999999757,6.599999999998545,4.07895,-2.08925,9.04363,-0.0011,2.8611111111887213e-05,-0.0011019161166668,0.999584433460804,7
2018-11-20 10:41:32,0.1266666666666424,7.599999999998545,4.04406,-2.78651,9.04363,-0.00179,2.833333333304229e-05,-0.001802252669445,0.9993197920088556,8
2018-11-20 10:41:33,0.1432999999999689,8.597999999998137,4.02788,-3.05214,9.04363,-0.00261,2.722222222170482e-05,-0.0026212173472224,0.9990103236531604,9
2018-11-20 10:41:34,0.1599499999999049,9.596999999994296,4.0272,-2.97041,9.04363,-0.00345,2.722222222170482e-05,-0.0034539058888859,0.9986956693575756,10
2018-11-20 10:41:35,0.1766666666666424,10.599999999998545,4.01321,-3.22581,9.04363,-0.00432,2.833333333304229e-05,-0.0043259275722227,0.9983661519512752,11
2018-11-20 10:41:36,0.1916666666666666,11.5,3.99484,-3.60127,9.04363,-0.00518,2.8611111111887213e-05,-0.0051872869305577,0.9980406635980902,12
2018-11-20 10:41:37,0.209983333333245,12.598999999994705,4.00293,-3.29478,9.04363,-0.00623,2.833333333304229e-05,-0.0062334807083304,0.9976453304696524,13
2018-11-20 10:41:38,0.2266666666666424,13.599999999998545,4.02687,-2.66647,9.04363,-0.00703,2.8611111111887213e-05,-0.0070389280166675,0.997340970024234,14
2018-11-20 10:41:39,0.2433333333333091,14.599999999998545,4.0508,-2.0918,9.04363,-0.00767,2.8611111111887213e-05,-0.0076799874805561,0.9970987280526622,15
2018-11-20 10:41:40,0.2600166666665852,15.60099999999511,4.03951,-2.35232,9.04363,-0.0083,2.8611111109866117e-05,-0.0083066366861095,0.9968619313940242,16
2018-11-20 10:41:41,0.2766333333333023,16.597999999998137,4.03378,-2.45448,9.04363,-0.00897,2.722222222170482e-05,-0.0089760706694448,0.996608967328918,17
2018-11-20 10:41:42,0.2916833333332761,17.500999999996566,4.0535,-1.96409,9.04363,-0.00951,2.888888888871103e-05,-0.0095186194999995,0.9964039503128828,18
