Timestamp,Time [s],Voltage [V],Current [A],Temperature [degC],Capacity [Ah],Time_diff,Cumulative_Capacity_Ah,SOC [-]
2017-06-25 10:31:03,0.09900368750095367,4.16772,-0.049,-20.103091000000003,-0.0,0.0,-0.0,0.9999972590822096
2017-06-25 10:31:03,0.20600371062755585,4.16386,-0.06206,-20.103091000000003,-0.0,2.972222864627838e-05,-1.8445615097880362e-06,0.9999961992485423
2017-06-25 10:31:03,0.3019999712705612,4.16193,-0.06533,-20.103091000000003,-1e-05,2.666562795639038e-05,-3.5866269841790197e-06,0.9999951983062422
2017-06-25 10:31:03,0.40400102734565735,4.16,-0.06615,-20.103091000000003,-1e-05,2.8333626687526703e-05,-5.460896389558911e-06,0.9999941214032456
2017-06-25 10:31:03,0.5060020834207535,4.15807,-0.06615,-19.885882,-1e-05,2.8333626687526703e-05,-7.335165794938803e-06,0.999993044500249
2017-06-25 10:31:03,0.6030041724443436,4.15679,-0.06615,-19.885882,-1e-05,2.6945024728775024e-05,-9.117579180747271e-06,0.9999920203751627
2017-06-25 10:31:03,0.7010020315647125,4.15486,-0.06696,-19.897306,-1e-05,2.722162753343582e-05,-1.0940339360386133e-05,0.9999909730679325
2017-06-25 10:31:03,0.8030030876398087,4.15292,-0.06696,-19.897306,-1e-05,2.8333626687526703e-05,-1.2837559003382921e-05,0.9999898829783685
2017-06-25 10:31:04,0.9030025452375412,4.15164,-0.06696,-19.897306,-2e-05,2.7777627110481262e-05,-1.4697548914700747e-05,0.9999888142799715
2017-06-25 10:31:04,1.0010004043579102,4.15035,-0.06778,-19.897306,-2e-05,2.722162753343582e-05,-1.6542630828917025e-05,0.9999877541472943
2017-06-25 10:31:04,1.1059988290071487,4.14906,-0.06778,-19.897306,-2e-05,2.916622906923294e-05,-1.8519517835229636e-05,0.9999866182830824
2017-06-25 10:31:04,1.20200514793396,4.14778,-0.06696,-19.897306,-2e-05,2.6668421924114227e-05,-2.0305235367268325e-05,0.9999855922595258
2017-06-25 10:31:04,1.3030003756284714,4.14649,-0.06778,-19.897306,-2e-05,2.805422991514206e-05,-2.2206751070916653e-05,0.999984499701565
2017-06-25 10:31:04,1.4050014317035675,4.1452,-0.06696,-19.885882,-3e-05,2.8333626687526703e-05,-2.4103970713913442e-05,0.999983409612001
2017-06-25 10:31:04,1.5010077506303787,4.14392,-0.06778,-19.885882,-3e-05,2.6668421924114227e-05,-2.5911556351929905e-05,0.9999823710236398
2017-06-25 10:31:04,1.6050003468990326,4.14263,-0.06778,-20.103091000000003,-3e-05,2.8886832296848297e-05,-2.7869505845010282e-05,0.9999812460403955
2017-06-25 10:31:04,1.7049998044967651,4.14134,-0.06778,-20.103091000000003,-3e-05,2.7777627110481262e-05,-2.9752273410558702e-05,0.9999801642545928
2017-06-25 10:31:05,1.8040034919977188,4.14006,-0.06778,-19.897306,-3e-05,2.7501024305820465e-05,-3.161629283800721e-05,0.999979093240948
2017-06-25 10:31:05,1.9049987196922302,4.13941,-0.06778,-19.897306,-3e-05,2.805422991514206e-05,-3.351780854165554e-05,0.9999780006829873
