Timestamp,Time [s],Voltage [V],Current [A],Temperature [degC],Capacity [Ah],Time_diff,Cumulative_Capacity_Ah,SOC [-]
2017-06-25 10:31:53,50.00299774110317,3.90073,-1.28944,-18.4111048,-0.02121,2.86102294921875e-05,-0.0213540106191113,0.9877278393500084
2017-06-25 10:31:53,50.10100565850735,3.83768,-1.30741,-18.4111048,-0.02125,2.7224421501159668e-05,-0.0213896041000261,0.987707388327254
2017-06-25 10:31:53,50.20400248467922,3.79393,-1.32782,-18.1938856,-0.02129,2.86102294921875e-05,-0.0214275933349505,0.987685560770974
2017-06-25 10:31:53,50.29999874532223,3.76305,-1.34334,-18.1938856,-0.02132,2.666562795639038e-05,-0.0214634143396094,0.9876649790194132
2017-06-25 10:31:53,50.40300562977791,3.73924,-1.35559,-18.1938856,-0.02136,2.8613023459911343e-05,-0.0215022018680814,0.9876426927858952
2017-06-25 10:31:53,50.501999258995056,3.71994,-1.36539,-18.4111048,-0.0214,2.749823033809662e-05,-0.0215397476768028,0.9876211200099608
2017-06-25 10:31:53,50.60100294649601,3.70386,-1.37274,-18.4111048,-0.02144,2.7501024305820465e-05,-0.0215774994329083,0.9875994289023956
2017-06-25 10:31:53,50.70000663399696,3.6897,-1.37845,-18.1938856,-0.02147,2.7501024305820465e-05,-0.0216154082198627,0.9875776475692786
2017-06-25 10:31:53,50.800006091594696,3.67876,-1.38417,-18.1938856,-0.02151,2.7777627110481266e-05,-0.0216538571779802,0.9875555558688563
2017-06-25 10:31:54,50.90000554919243,3.6704,-1.38744,-18.4111048,-0.02155,2.7777627110481266e-05,-0.0216923969689384,0.987533411978414
2017-06-25 10:31:54,51.003002375364304,3.60027,-3.35549,-18.4111048,-0.02165,2.86102294921875e-05,-0.0217883983078971,0.9874782522829568
2017-06-25 10:31:54,51.10700502991676,3.4716,-3.44205,-18.4111048,-0.02174,2.8889626264572144e-05,-0.0218878378459811,0.987421117094046
2017-06-25 10:31:54,51.20200552046299,3.40598,-3.53596,-18.4111048,-0.02184,2.6389025151729584e-05,-0.0219811483833566,0.987367503458232
2017-06-25 10:31:54,51.30500234663487,3.36609,-3.60538,-18.4111048,-0.02194,2.86102294921875e-05,-0.0220842991325631,0.987308235910778
2017-06-25 10:31:54,51.40400603413582,3.34164,-3.64784,-18.4111048,-0.02204,2.7501024305820465e-05,-0.0221846184690669,0.9872505952142
2017-06-25 10:31:54,51.5009980648756,3.32234,-3.68051,-18.4111048,-0.02214,2.6942230761051175e-05,-0.0222837796188052,0.9871936199794784
2017-06-25 10:31:54,51.6029991209507,3.30819,-3.70419,-18.4111048,-0.02225,2.8333626687526703e-05,-0.0223887327554449,0.9871333168304068
